Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1.35962,0.01578403,1.044827,-1.182539,0.8412288,-0.5373619,-0.01500224,0.05788965,
1.370849,0.01572394,1.044809,-1.182571,0.8412466,-0.5373298,-0.01500596,0.05792806,
1.382142,0.01564789,1.044828,-1.182593,0.841231,-0.5373536,-0.01492431,0.05795557,
1.393359,0.01558018,1.044848,-1.182615,0.8412024,-0.5373957,-0.01498509,0.05796354,
1.404816,0.01557446,1.044867,-1.182631,0.8411944,-0.5374247,-0.0150082,0.05780568,
1.416,0.01553726,1.044837,-1.182693,0.8411365,-0.5375215,-0.0150144,0.05774526,
1.427167,0.01547933,1.044807,-1.182687,0.8411354,-0.5375183,-0.015001,0.05779543,
1.438818,0.01542974,1.044779,-1.182725,0.841121,-0.5375419,-0.01495324,0.05779826,
1.449948,0.01541853,1.044796,-1.182728,0.8411112,-0.5375566,-0.01493105,0.05780864,
1.461203,0.01538754,1.044765,-1.182766,0.8411179,-0.5375628,-0.01485576,0.05767322,
1.472542,0.01534057,1.044779,-1.182684,0.8410864,-0.5376053,-0.01483393,0.05774184,
1.48382,0.01535249,1.044788,-1.182702,0.841114,-0.5375612,-0.01484447,0.05774764,
1.495122,0.01530671,1.044769,-1.1827,0.8411061,-0.5375837,-0.01475587,0.05767638,
1.505933,0.01532364,1.044787,-1.182695,0.8411011,-0.5375993,-0.01476294,0.0576027,
1.51726,0.01528144,1.04481,-1.182693,0.8411101,-0.537587,-0.01470377,0.05760076,
1.528285,0.01518011,1.044778,-1.1826,0.8411065,-0.5375897,-0.01470732,0.05762805,
1.539323,0.01517177,1.044763,-1.182589,0.8411359,-0.5375536,-0.01461355,0.05755774,
1.550456,0.01521754,1.044781,-1.182629,0.841154,-0.5375085,-0.01455378,0.05773158,
1.561538,0.01520991,1.044819,-1.182679,0.8411484,-0.5375171,-0.01457706,0.05772622,
1.572593,0.01522398,1.044808,-1.182655,0.8411342,-0.5375372,-0.01456223,0.0577501,
1.583674,0.01522779,1.044808,-1.182674,0.8411787,-0.5374743,-0.01462248,0.05767186,
1.594913,0.01522112,1.04482,-1.182686,0.8411111,-0.5375724,-0.01467791,0.05772803,
1.606071,0.01516104,1.044779,-1.182679,0.8411436,-0.5375151,-0.0146268,0.05780135,
1.617298,0.01514363,1.044811,-1.182639,0.8411695,-0.5374699,-0.01465251,0.0578397,
1.628204,0.0151937,1.044827,-1.182643,0.8411456,-0.5375049,-0.01470023,0.05784922,
1.639549,0.01517105,1.044845,-1.182601,0.84116,-0.5374739,-0.01477454,0.05790856,
1.650388,0.01518369,1.044843,-1.182597,0.8411317,-0.5375054,-0.01482313,0.05801366,
1.661512,0.01512718,1.044797,-1.182556,0.8411161,-0.5375205,-0.01476874,0.058114,
1.672534,0.0151515,1.044812,-1.182516,0.8411274,-0.5375019,-0.01478336,0.05812002,
1.684232,0.0151968,1.044836,-1.182519,0.8411189,-0.5375184,-0.01483719,0.05807655,
1.694836,0.01518774,1.04484,-1.182528,0.841103,-0.5375351,-0.01489558,0.058137,
1.706023,0.01523376,1.044855,-1.182508,0.8411319,-0.5374823,-0.01492207,0.05820015,
1.717033,0.01529503,1.044819,-1.182495,0.8410948,-0.5375375,-0.01490208,0.05823215,
1.728231,0.01531672,1.044808,-1.182433,0.8411063,-0.5375209,-0.01486053,0.05823049,
1.739291,0.01534605,1.044832,-1.18241,0.8410818,-0.537563,-0.0149515,0.05817211,
1.750434,0.01542592,1.044811,-1.182368,0.8410755,-0.5375768,-0.01500298,0.0581222,
1.761464,0.01548529,1.044766,-1.182315,0.8410411,-0.5376279,-0.01497092,0.05815558,
1.772626,0.01556492,1.044742,-1.182226,0.8410394,-0.5376239,-0.01505899,0.05819432,
1.783748,0.01566124,1.044741,-1.182197,0.8410112,-0.5376639,-0.0150763,0.05822799,
1.794845,0.015728,1.044724,-1.182189,0.8410168,-0.5376481,-0.01511603,0.05828087,
1.805952,0.01580358,1.044706,-1.18211,0.8409447,-0.5377752,-0.01516008,0.05813887,
1.817021,0.01581216,1.044761,-1.181994,0.8409008,-0.5378397,-0.01532845,0.05813162,
1.828149,0.01590729,1.044785,-1.181903,0.8408958,-0.5378458,-0.01535201,0.05814284,
1.839185,0.01590538,1.044895,-1.181773,0.8408695,-0.5378865,-0.01540192,0.05813272,
1.850309,0.01598692,1.04491,-1.181686,0.8408333,-0.5379484,-0.01544973,0.05807129,
1.86138,0.01602483,1.044929,-1.181601,0.84083,-0.5379546,-0.01549764,0.05804928,
1.872658,0.01609993,1.044952,-1.181531,0.8407738,-0.53804,-0.01554061,0.05805833,
1.883677,0.01616335,1.044954,-1.181432,0.8407709,-0.5380468,-0.01561117,0.0580204,
1.894771,0.01627231,1.044919,-1.181405,0.8407691,-0.5380429,-0.01554397,0.05810002,
1.906468,0.0164299,1.044939,-1.181396,0.8407462,-0.538078,-0.01548057,0.05812464,
1.917138,0.0165391,1.04494,-1.181346,0.8407627,-0.5380683,-0.0154256,0.05798886,
1.928096,0.01669097,1.044955,-1.1813,0.8407406,-0.5380957,-0.01548923,0.0580374,
1.939487,0.01682043,1.044921,-1.181262,0.8407236,-0.5381159,-0.01542608,0.05811246,
1.950324,0.01695657,1.044909,-1.181229,0.8407604,-0.5380521,-0.01544588,0.05816718,
1.961334,0.01711941,1.044905,-1.181228,0.8407536,-0.5380698,-0.01541086,0.05811086,
