Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1.370076,0.1196299,0.0938549,-1.178493,-0.08789587,0.5274985,0.7288284,0.4275848,
1.381347,0.119643,0.09386444,-1.178512,-0.0879379,0.5274662,0.7288613,0.42756,
1.392571,0.1196349,0.09387493,-1.178469,-0.08804382,0.5275297,0.7288439,0.4274895,
1.404017,0.1196842,0.09392643,-1.178554,-0.08805262,0.5275321,0.7288173,0.4275302,
1.415216,0.1196706,0.09394264,-1.178571,-0.08812407,0.5275282,0.728827,0.4275037,
1.426402,0.1196694,0.09397602,-1.178615,-0.08819532,0.5276246,0.7287427,0.4275138,
1.438001,0.1195893,0.09390831,-1.178494,-0.08823916,0.5276288,0.7287649,0.4274616,
1.449175,0.1196008,0.09387779,-1.178445,-0.08824652,0.5276114,0.7287604,0.4274893,
1.460394,0.1196122,0.0939064,-1.178422,-0.08814032,0.527674,0.7287121,0.4275162,
1.47172,0.1196427,0.09392357,-1.178388,-0.08820121,0.5276707,0.7287004,0.4275276,
1.483045,0.1196206,0.09396744,-1.178525,-0.08818854,0.5277158,0.7286489,0.4275624,
1.49429,0.1196404,0.09395123,-1.178494,-0.08820938,0.5277422,0.72865,0.4275237,
1.505133,0.1195884,0.0939579,-1.178531,-0.0881268,0.5276979,0.7286748,0.4275531,
1.516438,0.1195412,0.09394264,-1.178542,-0.0880821,0.527686,0.7286725,0.4275809,
1.5275,0.1195388,0.09394264,-1.178544,-0.08806937,0.5277059,0.728661,0.4275785,
1.538529,0.119566,0.09393883,-1.17859,-0.08807628,0.5276828,0.7287007,0.427538,
1.549645,0.1195204,0.09389877,-1.178563,-0.08810475,0.5277075,0.7286936,0.4275138,
1.560729,0.1195607,0.09386349,-1.178569,-0.08813067,0.5277576,0.7286584,0.4275065,
1.571809,0.1194973,0.09386826,-1.178579,-0.08817711,0.5277314,0.7287034,0.4274527,
1.582891,0.1195898,0.09391308,-1.178658,-0.08817933,0.5277611,0.7286341,0.4275337,
1.594142,0.1196134,0.09388828,-1.178587,-0.08816486,0.5277877,0.7286476,0.4274807,
1.605281,0.1196275,0.09383678,-1.178597,-0.08822986,0.5277714,0.7286698,0.4274497,
1.61649,0.1196055,0.09379768,-1.178574,-0.08829026,0.5278317,0.7286684,0.4273651,
1.627439,0.119627,0.09378147,-1.178524,-0.08831587,0.5277768,0.7286922,0.427387,
1.638755,0.1196897,0.09381962,-1.178557,-0.08836048,0.5278199,0.728666,0.4273693,
1.649616,0.1196573,0.09383965,-1.178608,-0.08838463,0.5278187,0.7286731,0.4273535,
1.660725,0.119684,0.09382439,-1.178576,-0.08845258,0.5278335,0.7286546,0.4273529,
1.671761,0.1196752,0.09381485,-1.178541,-0.08842813,0.5278516,0.7286965,0.4272641,
1.683177,0.1197262,0.09386826,-1.178555,-0.08851514,0.5278603,0.7286681,0.4272838,
1.694017,0.1196792,0.09390736,-1.178533,-0.08851167,0.5279006,0.7286459,0.4272725,
1.705214,0.1196203,0.09391022,-1.178662,-0.08851919,0.5278809,0.7286748,0.4272461,
1.716171,0.1195908,0.09392357,-1.178647,-0.08847848,0.5279778,0.7286128,0.4272406,
1.727445,0.1196308,0.09383392,-1.17864,-0.08850453,0.527931,0.7286315,0.4272611,
1.738506,0.1195731,0.09378338,-1.178633,-0.08840246,0.5279428,0.7286336,0.4272639,
1.74963,0.1195512,0.09381676,-1.178573,-0.08838733,0.5279506,0.7286345,0.4272559,
1.760697,0.1195889,0.09383202,-1.178568,-0.0883356,0.5278717,0.7286827,0.427282,
1.77181,0.1195641,0.09378624,-1.178533,-0.08837041,0.5279462,0.7286317,0.4272695,
1.782935,0.1196277,0.09385967,-1.178563,-0.088348,0.5279486,0.7286382,0.4272603,
1.793972,0.1196742,0.09380531,-1.178517,-0.08832297,0.5279554,0.7286099,0.4273052,
1.805109,0.1196141,0.09371758,-1.178496,-0.08825918,0.5279685,0.7285748,0.427362,
1.816162,0.1196244,0.09375572,-1.178546,-0.08820438,0.5280164,0.7285553,0.4273477,
1.827322,0.1196985,0.09376049,-1.178655,-0.08820335,0.5279727,0.7285631,0.4273884,
1.838382,0.1197236,0.09380913,-1.178691,-0.08806931,0.5279645,0.7285562,0.4274379,
1.849518,0.1196764,0.09376526,-1.178579,-0.08812135,0.5279394,0.7285606,0.4274507,
1.860587,0.1197095,0.09376335,-1.178522,-0.08793078,0.5279123,0.7285411,0.4275566,
1.871817,0.1197262,0.09381008,-1.178595,-0.08791857,0.5279118,0.7285197,0.4275963,
1.882862,0.1196785,0.09381962,-1.178575,-0.0878558,0.5279126,0.7285259,0.4275975,
1.893959,0.1196675,0.09374809,-1.178433,-0.08777606,0.5278779,0.7284982,0.4277039,
1.905536,0.1197352,0.09380722,-1.178449,-0.08770862,0.5278438,0.7284992,0.4277581,
1.916346,0.1196547,0.09385204,-1.178462,-0.08758508,0.5278485,0.7284957,0.4277837,
1.927309,0.1197875,0.09391594,-1.178492,-0.08736882,0.5278364,0.7284843,0.4278623,
1.938695,0.1198387,0.09386826,-1.178409,-0.08736772,0.5277758,0.7284993,0.4279117,
1.949536,0.119838,0.09387302,-1.178424,-0.08720995,0.5277687,0.7284845,0.4279778,
1.960575,0.119884,0.09384346,-1.178392,-0.08716909,0.5277429,0.7284887,0.4280109,
1.971635,0.1198614,0.09378147,-1.178535,-0.0871027,0.5277408,0.7284678,0.4280624,
1.982818,0.1198237,0.09378529,-1.178548,-0.08709216,0.527711,0.7284459,0.4281386,
1.993965,0.1198211,0.09380054,-1.178514,-0.08700953,0.5276748,0.7284728,0.4281544,
2.005041,0.1199398,0.09390926,-1.178526,-0.08689211,0.5276066,0.7284631,0.4282786,
2.016141,0.1200099,0.09391594,-1.178472,-0.08694859,0.5276049,0.7284768,0.4282461,
2.03034,0.1200237,0.09391022,-1.178463,-0.08677898,0.527548,0.7284297,0.4284304,
2.040983,0.1199157,0.09379292,-1.178402,-0.08670077,0.5274668,0.7284733,0.4284723,
2.049499,0.1199114,0.09376431,-1.178415,-0.08672778,0.5275193,0.72845,0.4284418,
2.060712,0.1198959,0.09377289,-1.178411,-0.08668258,0.5275261,0.7284721,0.428405,
2.071711,0.1198323,0.09374046,-1.178465,-0.08662406,0.527622,0.7283874,0.4284428,
2.082806,0.1198716,0.09369278,-1.178445,-0.08660974,0.5277551,0.7283198,0.4283967,
2.093798,0.119853,0.09361362,-1.178457,-0.08670186,0.5276248,0.7284197,0.4283685,
2.104995,0.1199172,0.09362316,-1.178432,-0.0865998,0.5277763,0.7282789,0.4284419,
2.11629,0.1198478,0.09365368,-1.178384,-0.0866414,0.5276037,0.7284032,0.4284348,
2.128614,0.1200633,0.09375668,-1.178402,-0.08642194,0.5277002,0.7283009,0.4285341,
2.138365,0.1200314,0.09377003,-1.178378,-0.08646177,0.5276898,0.7283393,0.4284737,
2.149482,0.1199903,0.09371662,-1.178417,-0.08641004,0.5275845,0.7283446,0.4286048,
2.160431,0.1199281,0.09374714,-1.17844,-0.08635732,0.5275781,0.7283555,0.4286047,
2.171499,0.1199279,0.09373856,-1.178425,-0.08629894,0.5276363,0.7282907,0.4286549,
2.182707,0.1200376,0.09378052,-1.178447,-0.08626787,0.5276068,0.7283261,0.4286374,
2.193817,0.1200728,0.09375191,-1.178437,-0.08638099,0.5275691,0.7283391,0.4286391,
2.204701,0.1200781,0.09373379,-1.178439,-0.08617288,0.5276997,0.7282493,0.4286726,
2.216071,0.1200223,0.09375858,-1.178473,-0.08624028,0.527585,0.7283559,0.4286191,
2.227116,0.1200182,0.09377766,-1.178445,-0.08615118,0.5275313,0.728386,0.4286521,
2.238178,0.1200049,0.09376431,-1.178456,-0.08619394,0.5275422,0.7283602,0.4286739,
2.249419,0.1200495,0.09376431,-1.178485,-0.086247,0.527581,0.7283381,0.428653,
2.260482,0.1200812,0.09381294,-1.17849,-0.0862447,0.5275711,0.7283026,0.428726,
2.271445,0.1200185,0.09371471,-1.178462,-0.08623239,0.5275248,0.7283562,0.4286942,
