Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1.31385,-0.1078968,0.09068012,-0.8564653,-0.4852785,-0.2104702,-0.1214405,0.8399162,
1.325268,-0.1079369,0.09070873,-0.8564339,-0.4852928,-0.2104413,-0.1214926,0.8399078,
1.336573,-0.1079533,0.09070778,-0.8564329,-0.4853176,-0.210455,-0.1215304,0.8398845,
1.347813,-0.1080194,0.09079456,-0.8564739,-0.485319,-0.2104707,-0.121463,0.8398894,
1.359205,-0.1080589,0.09076118,-0.856493,-0.4853183,-0.210491,-0.1214489,0.8398868,
1.370477,-0.1080875,0.09077168,-0.8565054,-0.4853373,-0.2105344,-0.1214495,0.8398649,
1.381766,-0.1081629,0.09078884,-0.8564291,-0.4852546,-0.2104417,-0.1214297,0.8399388,
1.392982,-0.1081917,0.09079933,-0.8564215,-0.485345,-0.2104404,-0.1213891,0.8398927,
1.404424,-0.1080339,0.09077644,-0.8564806,-0.4853871,-0.210448,-0.1213904,0.8398663,
1.415627,-0.1080415,0.0907793,-0.8564901,-0.4853801,-0.2104567,-0.1213269,0.8398774,
1.426802,-0.1080577,0.09074402,-0.8566628,-0.4854604,-0.2104528,-0.1213133,0.8398339,
1.438427,-0.1080303,0.0907259,-0.8565512,-0.4854506,-0.2105189,-0.1213038,0.8398243,
1.44958,-0.1080346,0.09074211,-0.8565388,-0.48552,-0.210467,-0.1213075,0.8397967,
1.460823,-0.1080503,0.09074211,-0.8565397,-0.4854984,-0.2104652,-0.1212705,0.839815,
1.472131,-0.1080694,0.09086132,-0.8564835,-0.4855182,-0.2104902,-0.1212169,0.839805,
1.483447,-0.1080232,0.09081459,-0.8565207,-0.4856331,-0.2105051,-0.1212387,0.8397316,
1.494745,-0.1080308,0.09083366,-0.8565226,-0.4855416,-0.2105069,-0.1212013,0.8397896,
1.50555,-0.1080282,0.09078979,-0.8564663,-0.4855528,-0.2106237,-0.1212066,0.839753,
1.516881,-0.1080506,0.09078979,-0.8564701,-0.4855735,-0.2105724,-0.1212264,0.839751,
