Time Stamp [s],Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1.457722,-0.1182792,0.09066772,-1.170306,-0.4158914,-0.3415722,-0.1940864,0.8201788,
1.469311,-0.1182418,0.09069633,-1.170325,-0.4158711,-0.3415763,-0.1940815,0.8201886,
1.479883,-0.1181576,0.09064198,-1.170394,-0.4160108,-0.3415174,-0.1940422,0.8201516,
1.490891,-0.118144,0.09059334,-1.170399,-0.4161596,-0.3415049,-0.1940919,0.8200695,
1.502153,-0.1180861,0.09053135,-1.170465,-0.4163472,-0.3415045,-0.1941396,0.8199632,
1.513075,-0.1180358,0.09051895,-1.170541,-0.4165628,-0.3415131,-0.1942457,0.8198249,
1.524271,-0.1180286,0.09048939,-1.170565,-0.4165795,-0.3414956,-0.1941723,0.8198411,
1.535877,-0.1180644,0.09059429,-1.170628,-0.4167013,-0.3415112,-0.1941816,0.8197705,
1.547094,-0.1181328,0.09056377,-1.170546,-0.4166009,-0.3415983,-0.194026,0.8198221,
1.558409,-0.1180773,0.09047794,-1.170497,-0.4165091,-0.3416096,-0.1940435,0.8198599,
1.569991,-0.118196,0.09057617,-1.170421,-0.4165016,-0.3416627,-0.1938997,0.8198755,
1.581171,-0.1182334,0.0906353,-1.170463,-0.4164671,-0.3416041,-0.1938757,0.8199232,
1.593229,-0.1183112,0.09057713,-1.170516,-0.4164384,-0.3417145,-0.193748,0.8199219,
1.604252,-0.1183348,0.09057522,-1.17049,-0.4163212,-0.3418064,-0.1936257,0.819972,
1.615888,-0.1183715,0.09064198,-1.170489,-0.4163211,-0.3417441,-0.1936733,0.8199868,
1.627169,-0.1182933,0.09057999,-1.170421,-0.4162595,-0.3418587,-0.1935533,0.8199987,
1.639313,-0.1182847,0.09058571,-1.170411,-0.4161738,-0.3417885,-0.1936366,0.8200517,
1.650153,-0.1181252,0.0905323,-1.1705,-0.4161664,-0.3418735,-0.1935427,0.8200423,
1.661337,-0.1180959,0.09052277,-1.170466,-0.4161665,-0.341757,-0.1935825,0.8200814,
1.67269,-0.1180873,0.09048843,-1.170455,-0.4161643,-0.3418391,-0.193611,0.8200415,
